scenario,period_scenario,mode,simulation_time,intersection_id,edge_id,vehicles,queue,waiting_time,speed_kmh,traffic_flow,congestion,signal_phase,phase_state
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490405_298938456,372646899#19,1,0,0.0,98.86,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490405_298938456,304646594#1,2,0,0.0,70.6,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,304334916#4,4,4,10.75,0.0,0,MEDIUM,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,262683844#4,1,1,2.0,20.02,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,0,0,0.0,100.01,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,2,10.67,6.16,0,MEDIUM,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,0,0,0.0,40.0,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,-1305352759#0,0,0,0.0,50.0,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,1274942164,0,0,0.0,79.99,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2400.0,joinedS_2705384848_3138462214,1274948100,1,1,5.0,0.0,0,LOW,2,rrrrrrGGGrrrGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490405_298938456,372646899#19,1,0,0.0,99.47,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490405_298938456,304646594#1,2,0,0.0,67.68,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,304334916#4,4,4,11.75,0.0,0,MEDIUM,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,262683844#4,1,1,3.0,20.02,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27116790#3,0,0,0.0,100.01,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,372646899#12,3,2,11.33,0.76,0,MEDIUM,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,cluster_2683490416_2683507646_2683507647_2684658305_#2more,27117517#9,0,0,0.0,40.0,0,LOW,2,rrrGGGrrrrrrrrrrrrrrrrGGrrrrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,-1274948100,0,0,0.0,79.99,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,27168100#6,0,0,0.0,79.99,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,304646598#0,0,0,0.0,79.99,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,-1305352759#0,0,0,0.0,50.0,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,1274942164,0,0,0.0,79.99,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2401.0,joinedS_2705384848_3138462214,1274948100,1,1,6.0,0.0,0,LOW,3,rrrrrryyyrrryyyrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2402.0,cluster_2683490405_298938456,1212699691#3,0,0,0.0,100.01,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2402.0,cluster_2683490405_298938456,372646899#19,1,0,0.0,99.94,0,LOW,0,GGggGGGrrr
CHATRAPATI_RING_ROAD,EVENING,FIXED,2402.0,cluster_2683490405_298938456,304646594#1,2,0,0.0,67.21,0,LOW,0,GGggGGGrrr
